Drug Name	Drug Indications	Disease Name	Disease Gene Names	Disease Gene Entrez Gene IDs
Albuterol	For relief and prevention of bronchospasm due to asthma; Emphysema; Chronic bronchitis	Emphysema	SERPINA1	5265
Aldesleukin	For treatment of adults with metastatic renal cell carcinoma	Renal cell carcinoma	FLCN;RNF139;OGG1;PRCC;TFE3;MET;VHL	201163;11236;4968;5546;7030;4233;7428
Alemtuzumab	For treatment of B-cell chronic lymphocytic leukemia	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Alendronate	For the treatment and prevention of osteoporosis in women and Paget's disease of bone in both men and women.	Osteoporosis	PDLIM4	8572
Alendronate	For the treatment and prevention of osteoporosis in women and Paget's disease of bone in both men and women.	Paget disease	TNFRSF11B;SQSTM1;TNFRSF11A	4982;8878;8792
Alglucerase	For the treatment of Gaucher's disease (deficiency in glucocerebrosidase)	Gaucher disease	GBA;PSAP	2629;5660
Alitretinoin	For topical treatment of cutaneous lesions in patients with AIDS-related Kaposi's sarcoma.	AIDS	KIR3DL1;IFNG;CXCL12	3811;3458;6387
Alitretinoin	For topical treatment of cutaneous lesions in patients with AIDS-related Kaposi's sarcoma.	Kaposi sarcoma	IL6	3569
Allopurinol	For the treatment of hyperuricemia associated with primary or secondary gout.	Gout		
Almotriptan	For the treatment of acute migraine headache in adults	Migraine	ATP1A2;EDNRA;ESR1;TNF	477;1909;2099;7124
Alpha-1-proteinase inhibitor	For treatment of panacinar emphysema	Emphysema	SERPINA1	5265
Alprazolam	For the management of anxiety disorder or the short-term relief of symptoms of anxiety and for the treatment of panic disorder, with or without agoraphobia.	Panic disorder syndrome		
Alprazolam	For the management of anxiety disorder or the short-term relief of symptoms of anxiety and for the treatment of panic disorder, with or without agoraphobia.	Phobia		
Alprenolol	For the treatment of hypertension, angina, and arrhythmia	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Alseroxylon	For the treatment of hypertension and as an adjunct in the management of angina pectoris.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Alteplase	For management of acute myocardial infarction, acute ischemic strok and for lysis of acute pulmonary emboli	Myocardial infarction	F7;APOE;ACE;ALOX5AP;LGALS2;LTA;OLR1;THBD;GCLM;TNFSF4	2155;348;1636;241;3957;4049;4973;7056;2730;7292
Alteplase	For management of acute myocardial infarction, acute ischemic strok and for lysis of acute pulmonary emboli	Pulmonary disease		
Altretamine	For use as a single agent in the palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent-based combination.	Ovarian cancer	BRCA1;MSH2;PIK3CA;MSH6;ERBB2;CDH1;RRAS2;CTNNB1	672;4436;5290;2956;2064;999;22800;1499
Amantadine	For the chemoprophylaxis, prophylaxis, and treatment of signs and symptoms of infection caused by various strains of influenza A virus. Also for the treatment of parkinsonism and drug-induced extrapyramidal reactions.	Parkinson disease	NR4A2;SNCAIP;TBP;SNCA;PARK7;LRRK2;PINK1;UCHL1;PARK2;DBH;NDUFV2	4929;9627;6908;6622;11315;120892;65018;7345;5071;1621;4729
Ambenonium	Ambenonium is used to treat muscle weakness due to muscle disease (myasthenia gravis).	Myasthenia	FIMG1	8144
Amdinocillin	Used in the treatment of urinary tract infections caused by some strains of E. coli and klebsiella and enterobacter species.	Urinary tract infection		
Amifostine	For reduction in the cumulative renal toxicity in patients with ovarian cancer (using cisplatin) and moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer.	Ovarian cancer	BRCA1;MSH2;PIK3CA;MSH6;ERBB2;CDH1;RRAS2;CTNNB1	672;4436;5290;2956;2064;999;22800;1499
Amifostine	For reduction in the cumulative renal toxicity in patients with ovarian cancer (using cisplatin) and moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer.	Radiation sensitivity/chromosome instability syndrome, autosomal dominant		
Amikacin	For short-term treatment of serious infections due to susceptible strains of Gram-negative bacteria, including Pseudomonas species, Escherichia coli, species of indole-positive and indole-negative Proteus, Providencia species, Klebsiella-Enterobacter-Serratia species, and Acinetobacter (Mima-Herellea) species.	Proteus syndrome		
Amiloride	For use as adjunctive treatment with thiazide diuretics or other kaliuretic-diuretic agents in congestive heart failure or hypertension.	Congestive heart failure	ADRA2C;ADRB1	152;153
Amiloride	For use as adjunctive treatment with thiazide diuretics or other kaliuretic-diuretic agents in congestive heart failure or hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Aminophylline	For the treatment of bronchospasm due to asthma, emphysema and chronic bronchitis.	Asthma	PHF11;MS4A2;ALOX5;ADRB2;PTGDR;GPR154;HNMT;IL12B;IL13;PLA2G7;SCGB3A2;TNF;SCGB1A1	51131;2206;240;154;5729;387129;3176;3593;3596;7941;117156;7124;7356
Aminophylline	For the treatment of bronchospasm due to asthma, emphysema and chronic bronchitis.	Emphysema	SERPINA1	5265
Aminosalicylic Acid	For the treatment of tuberculosis	Tuberculosis	IFNGR1;IFNG	3459;3458
Amiodarone	Intravenously, for initiation of treatment and prophylaxis of frequently recurring ventricular fibrillation and hemodynamically unstable ventricular tachycardia in patients refractory to other therapy. Orally, for the treatment of life-threatening recurrent ventricular arrhythmias such as recurrent ventricular fibrillation and recurrent hemodynamically unstable ventricular tachycardia.	MODY	TCF2;INS;HNF4A;GCK;TCF1;IPF1	6928;3630;3172;2645;6927;3651
Amiodarone	Intravenously, for initiation of treatment and prophylaxis of frequently recurring ventricular fibrillation and hemodynamically unstable ventricular tachycardia in patients refractory to other therapy. Orally, for the treatment of life-threatening recurrent ventricular arrhythmias such as recurrent ventricular fibrillation and recurrent hemodynamically unstable ventricular tachycardia.	Ventricular fibrillation, idiopathic	SCN5A	6331
Amiodarone	Intravenously, for initiation of treatment and prophylaxis of frequently recurring ventricular fibrillation and hemodynamically unstable ventricular tachycardia in patients refractory to other therapy. Orally, for the treatment of life-threatening recurrent ventricular arrhythmias such as recurrent ventricular fibrillation and recurrent hemodynamically unstable ventricular tachycardia.	Ventricular tachycardia	GNAI2;CASQ2;RYR2	2771;845;6262
Amitriptyline	For the treatment of anxiety, bipolar disorders, and depression.	Bipolar disorder	XBP1	7494
Amlodipine	For the treatment of hypertension, chronic stable angina and confirmed or suspected vasospastic angina.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Amodiaquine	For treatment of acute malarial attacks in non-immune subjects.	Malaria	CD36;ICAM1;TNF;GYPC;NOS2A	948;3383;7124;2995;4843
Amoxicillin	For the treatment of infections of the ear, nose, and throat, the genitourinary tract, the skin and skin structure, and the lower respiratory tract due to susceptible (only b-lactamase-negative) strains of Streptococcus spp. (a- and b-hemolytic strains only), S. pneumoniae, Staphylococcus spp., H. influenzae, E. coli, P. mirabilis, or E. faecalis. Also for the treatment of acute, uncomplicated gonorrhea (ano-genital and urethral infections) due to N. gonorrhoeae (males and females).	Urinary tract infection		
Amphetamine	For treatment of Attention Deficit Disorder with Hyperactivity (ADDH) and narcolepsy in children.	Attention-deficit hyperactivity disorder	DRD5	1816
Amphetamine	For treatment of Attention Deficit Disorder with Hyperactivity (ADDH) and narcolepsy in children.	Narcolepsy	HCRT	3060
Amprenavir	For the treatment of HIV-1 infection in combination with other antiretroviral agents.	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Amprenavir	For the treatment of HIV-1 infection in combination with other antiretroviral agents.	Viral infection	FCGR3A;OAS1	2214;4938
Anagrelide	For the treatment of patients with thrombocythemia, secondary to myeloproliferative disorders, to reduce the elevated platelet count and the risk of thrombosis and to ameliorate associated symptoms including thrombo-hemorrhagic events.	Myeloproliferative disorder	PDGFRB	5159
Anagrelide	For the treatment of patients with thrombocythemia, secondary to myeloproliferative disorders, to reduce the elevated platelet count and the risk of thrombosis and to ameliorate associated symptoms including thrombo-hemorrhagic events.	Platelet defect/deficiency	PLA2G7;P2RY12;RUNX1;CD36	7941;64805;861;948
Anagrelide	For the treatment of patients with thrombocythemia, secondary to myeloproliferative disorders, to reduce the elevated platelet count and the risk of thrombosis and to ameliorate associated symptoms including thrombo-hemorrhagic events.	Thrombocythemia	JAK2;THPO	3717;7066
Anakinra	For treatment of adult rheumatoid arthritis	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Anastrozole	For treatment of advanced breast cancer.	Breast cancer	CHEK2;PIK3CA;PPM1D;SLC22A18;TP53;BRCA1;BRCA2;TSG101;BRIP1;RAD54L;CDH1;AR;KRAS;RB1CC1;PHB;ATM;BARD1;RAD51;XRCC3	11200;5290;8493;5002;7157;672;675;7251;83990;8438;999;367;3845;9821;5245;472;580;5888;7517
Anisindione	For the prophylaxis and treatment of venous thrombosis and its extension, the treatment of atrial fibrillation with embolization, the prophylaxis and treatment of pulmonary embolism, and as an adjunct in the treatment of coronary occlusion.	Atrial fibrillation	KCNE2;KCNQ1;GATA4;MYH6;NKX2-5	9992;3784;2626;4624;1482
Anisindione	For the prophylaxis and treatment of venous thrombosis and its extension, the treatment of atrial fibrillation with embolization, the prophylaxis and treatment of pulmonary embolism, and as an adjunct in the treatment of coronary occlusion.	Pulmonary disease		
Anisindione	For the prophylaxis and treatment of venous thrombosis and its extension, the treatment of atrial fibrillation with embolization, the prophylaxis and treatment of pulmonary embolism, and as an adjunct in the treatment of coronary occlusion.	Venous thrombosis	TEK;SERPINA10	7010;51156
Anistreplase	For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction	Myocardial infarction	F7;APOE;ACE;ALOX5AP;LGALS2;LTA;OLR1;THBD;GCLM;TNFSF4	2155;348;1636;241;3957;4049;4973;7056;2730;7292
Anistreplase	For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction	Pulmonary disease		
Antihemophilic Factor	For the treatment of hemophilia A, von Willebrand diseae and Factor XIII deficiency	Factor x deficiency	CFH;MCFD2;F7;F10;F11;F12;F13A1;F13B	3075;90411;2155;2159;2160;2161;2162;2165
Antihemophilic Factor	For the treatment of hemophilia A, von Willebrand diseae and Factor XIII deficiency	Hemophilia	F8;F9	2157;2158
Antihemophilic Factor	For the treatment of hemophilia A, von Willebrand diseae and Factor XIII deficiency	von Willebrand disease	VWF	7450
Apomorphine	For the acute, intermittent treatment of hypomobility, off episodes (end-of-dose wearing off and unpredictable on/off episodes) associated with advanced Parkinson's disease.	Parkinson disease	NR4A2;SNCAIP;TBP;SNCA;PARK7;LRRK2;PINK1;UCHL1;PARK2;DBH;NDUFV2	4929;9627;6908;6622;11315;120892;65018;7345;5071;1621;4729
Arbutamine	Used to elicit acute cardiovascular responses, similar to those produced by exercise, in order to aid in diagnosing the presence or absence of coronary artery disease (CAD) in patients who cannot exercise adequately.	Coronary artery disease	MEF2A;ABCA1;KL;PON1;PON2;MMP3	4205;19;9365;5444;5445;4314
Ardeparin	For prevention of deep vein thrombosis, which may result in pulmonary embolism, following knee surgery.	Pulmonary disease		
Arecoline	For use in possible or probable dementia of the Alzheimer type .Used in the treatment of tapeworm infection	Alzheimer disease	APP;APOE;PSEN2;APBB2;NOS3;PLAU;ACE;MPO;PAXIP1;A2M;BLMH;PSEN1	351;348;5664;323;4846;5328;1636;4353;22976;2;642;5663
Arecoline	For use in possible or probable dementia of the Alzheimer type .Used in the treatment of tapeworm infection	Dementia	ITM2B;PSEN1;MAPT;SNCA;SNCB;TNF	9445;5663;4137;6622;6620;7124
Argatroban	For prophylaxis or treatment of thrombosis in patients with heparin-induced thrombocytopenia	Thrombocytopenia	MASTL;MPL;WAS;F5	84930;4352;7454;2153
Aripiprazole	For the treatment of schizophrenia	Schizophrenia	DISC1;TAAR6;APP;COMT;HTR2A;RTN4R;SYN2;ENTH;PRODH	27185;319100;351;1312;3356;65078;6854;9685;5625
Arsenic Trioxide	For induction of remission and consolidation in patients with acute promyelocytic leukemia (APL), and whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Asparaginase	For treatment of acute lympocytic leukemia and non-Hodgkins lymphoma	Rapp-Hodgkin syndrome	TP73L	8626
Asparaginase	For treatment of acute lympocytic leukemia and non-Hodgkins lymphoma	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Asparaginase	For treatment of acute lympocytic leukemia and non-Hodgkins lymphoma	Lymphoma	RAP1GDS1;ATM;BCL8;BCL10;RAD54B;RAD54L;FCGR2B;MAD1L1;MSH2;SH2D1A	5910;472;606;8915;25788;8438;2213;8379;4436;4068
Asparaginase	For treatment of acute lympocytic leukemia and non-Hodgkins lymphoma	Non-Hodgkin lymphoma	CASP10	843
Aspirin	For use in the temporary relief of various forms of pain, inflammation associated with various conditions (including rheumatoid arthritis, juvenile rheumatoid arthritis, systemic lupus erythematosus, osteoarthritis, and ankylosing spondylitis), and is also used to reduce the risk of death and/or nonfatal myocardial infarction in patients with a previous infarction or unstable angina pectoris.	Lupus erythematosus	FCGR2A	2212
Aspirin	For use in the temporary relief of various forms of pain, inflammation associated with various conditions (including rheumatoid arthritis, juvenile rheumatoid arthritis, systemic lupus erythematosus, osteoarthritis, and ankylosing spondylitis), and is also used to reduce the risk of death and/or nonfatal myocardial infarction in patients with a previous infarction or unstable angina pectoris.	Myocardial infarction	F7;APOE;ACE;ALOX5AP;LGALS2;LTA;OLR1;THBD;GCLM;TNFSF4	2155;348;1636;241;3957;4049;4973;7056;2730;7292
Aspirin	For use in the temporary relief of various forms of pain, inflammation associated with various conditions (including rheumatoid arthritis, juvenile rheumatoid arthritis, systemic lupus erythematosus, osteoarthritis, and ankylosing spondylitis), and is also used to reduce the risk of death and/or nonfatal myocardial infarction in patients with a previous infarction or unstable angina pectoris.	Osteoarthritis	MATN3;FRZB;ASPN;COL2A1	4148;2487;54829;1280
Aspirin	For use in the temporary relief of various forms of pain, inflammation associated with various conditions (including rheumatoid arthritis, juvenile rheumatoid arthritis, systemic lupus erythematosus, osteoarthritis, and ankylosing spondylitis), and is also used to reduce the risk of death and/or nonfatal myocardial infarction in patients with a previous infarction or unstable angina pectoris.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Aspirin	For use in the temporary relief of various forms of pain, inflammation associated with various conditions (including rheumatoid arthritis, juvenile rheumatoid arthritis, systemic lupus erythematosus, osteoarthritis, and ankylosing spondylitis), and is also used to reduce the risk of death and/or nonfatal myocardial infarction in patients with a previous infarction or unstable angina pectoris.	Systemic lupus erythematosus	FASLG;DNASE1;PTPN22;PDCD1	356;1773;26191;5133
Astemizole	For the relief of symptoms associated with seasonal allergic rhinitis and chronic idiopathic urticaria.	Allergic rhinitis	IL13	3596
Atazanavir	For use, in combination with other antiretroviral agents, in the treatment of HIV-1 infection.	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Atazanavir	For use, in combination with other antiretroviral agents, in the treatment of HIV-1 infection.	Viral infection	FCGR3A;OAS1	2214;4938
Atomoxetine	For the treatment of Attention-Deficit/Hyperactivity Disorder (ADHD).	Attention-deficit hyperactivity disorder	DRD5	1816
Atorvastatin	For management as an adjunct to diet to reduce elevated total-C, LDL-C, apo B, and TG levels in patients with primary hypercholesterolemia and mixed dyslipidemia.	Hypercholesterolemia	APOB;LDLR;PCSK9;LDLRAP1;EPHX2;APOA2;C7orf16;ITIH4	338;3949;255738;26119;2053;336;10842;3700
Auranofin	Used in the treatment of active, progressive or destructive forms of inflammatory arthritis, such as adult rheumatoid arthritis.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Azacitidine	For treatment of patients with the following myelodysplastic syndrome subtypes: refractory anemia or refractory anemia with ringed sideroblasts (if accompanied by neutropenia or thrombocytopenia or requiring transfusions), refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia.	Anemia	CDAN1;RPS19;PKLR;NT5C3;RHAG;SLC11A2;SPTB;ALAS2;ABCB7	146059;6223;5313;51251;6005;4891;6710;212;22
Azacitidine	For treatment of patients with the following myelodysplastic syndrome subtypes: refractory anemia or refractory anemia with ringed sideroblasts (if accompanied by neutropenia or thrombocytopenia or requiring transfusions), refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia.	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Azacitidine	For treatment of patients with the following myelodysplastic syndrome subtypes: refractory anemia or refractory anemia with ringed sideroblasts (if accompanied by neutropenia or thrombocytopenia or requiring transfusions), refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia.	Myelodysplastic syndrome	MDS1;ACSL6;IRF1	4197;23305;3659
Azacitidine	For treatment of patients with the following myelodysplastic syndrome subtypes: refractory anemia or refractory anemia with ringed sideroblasts (if accompanied by neutropenia or thrombocytopenia or requiring transfusions), refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia.	Myelomonocytic leukemia, chronic	PDGFRB	5159
Azacitidine	For treatment of patients with the following myelodysplastic syndrome subtypes: refractory anemia or refractory anemia with ringed sideroblasts (if accompanied by neutropenia or thrombocytopenia or requiring transfusions), refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia.	Neutropenia	FCGR3A;ELA2;GFI1;WAS	2214;1991;2672;7454
Azacitidine	For treatment of patients with the following myelodysplastic syndrome subtypes: refractory anemia or refractory anemia with ringed sideroblasts (if accompanied by neutropenia or thrombocytopenia or requiring transfusions), refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia.	Thrombocytopenia	MASTL;MPL;WAS;F5	84930;4352;7454;2153
Azatadine	For the relief of the symptoms of upper respiratory mucosal congestion in perennial and allergic rhinitis, and for the relief of nasal congestion and eustachian t.b. congestion.	Allergic rhinitis	IL13	3596
Azathioprine	For use as an adjunct in the prevention of rejection in renal homotransplantation. Also for the management of severe, active rheumatoid arthritis unresponsive to rest, aspirin or other nonsteroidal anti-inflammatory drugs, or to agents in the class of which gold is an example.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Azelastine	For the treatment of itching of the eye associated with allergic conjunctivitis.	Conjunctivitis, ligneous	PLG	5340
Aztreonam	For the treatment of the following infections caused by susceptible gram-negative microorganisms: urinary tract infections, lower respiratory tract infections, septicemia, skin and skin-structure infections, intra-abdominal infections, and gynecologic infections.	Urinary tract infection		
Baclofen	For the alleviation of signs and symptoms of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity	Multiple sclerosis	CIITA;PTPRC	4261;5788
Balsalazide	For the treatment of mildly to moderately active ulcerative colitis.	Ulcerative colitis		
Beclomethasone	For the maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older	Asthma	PHF11;MS4A2;ALOX5;ADRB2;PTGDR;GPR154;HNMT;IL12B;IL13;PLA2G7;SCGB3A2;TNF;SCGB1A1	51131;2206;240;154;5729;387129;3176;3593;3596;7941;117156;7124;7356
Benazepril	For the treatment of hypertension. It may be used alone or in combination with thiazide diuretics.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Bentoquatam	Used to prevent or reduce the severity of allergic contact dermatitis due to urushiol, the allergenic resin of poison ivy, poison oak, and poison sumac.	Dermatitis, atopic		
Benzphetamine	For the management of exogenous obesity as a short term adjunct (a few weeks)in a regimen of weight reduction based on caloric restriction	Obesity	POMC;MC4R;AKR1C2;NTRK2;AGRP;NR0B2;LEP;LEPR;PPARG;SIM1;UCP3;MC3R;SLC6A14;ADRB2;ADRB3;CART;ENPP1;GHRL;UCP1;UCP2;PCSK1	5443;4160;1646;4915;181;8431;3952;3953;5468;6492;7352;4159;11254;154;155;9607;5167;51738;7350;7351;5122
Benztropine	For use as an adjunct in the therapy of all forms of parkinsonism and also for use in the control of extrapyramidal disorders due to neuroleptic drugs.	Parkinson disease	NR4A2;SNCAIP;TBP;SNCA;PARK7;LRRK2;PINK1;UCHL1;PARK2;DBH;NDUFV2	4929;9627;6908;6622;11315;120892;65018;7345;5071;1621;4729
Betanidine	For the treatment of hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Betaxolol	For the management of hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
